Genes	HSC	MPP	LMPP	CLP	GMP-A	GMP-B	GMP-C	CMP	MEP	NK	CD4	CD8	B	pDC	Mono	Ery
NR1H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL5	8282	9536	4757	4645	1584	1973	4905	16443	21696	6421	9188	5358	9889	2924	9926	2634
ALOX5	37	31	11	217	0	0	32	876	10	97	82	17	2337	107	13145	15
KDM5D	3033	3949	2647	1188	471	617	1355	3662	3739	1353	1540	1065	1697	1153	1321	864
CALCOCO1	4307	3979	1674	2276	1209	1489	3044	4306	3979	4047	3751	2099	3619	3998	5995	4966
UBR7	3183	3839	4209	3096	690	1161	2311	7257	7504	2565	2592	1920	1742	4396	2061	2318
MAP4K5	4316	4736	2730	3326	603	661	907	5665	8604	4190	3028	2429	3728	954	1834	14526
EHD3	2363	3204	1212	818	832	693	3345	4051	2523	845	804	396	1682	406	641	450
PSMC4	1423	1928	1469	1079	467	384	2170	3321	4438	1823	2021	1521	978	1882	3039	914
MAN2B2	1827	2303	1078	244	622	955	2421	2987	1623	2114	3213	2255	1573	1044	4602	83
SLC7A14	0	1	0	0	4	0	0	1	1	0	1	0	1	2	0	0
CLDN11	2	0	1	0	0	0	0	1	2	1	9	1	2	2	3	0
SLC25A39	1628	3338	1976	157	1046	1228	2679	4315	6089	766	2111	1604	817	2435	2321	4726
MVP	467	659	237	18	23	76	527	472	144	705	1175	605	300	477	2843	4
NUB1	5788	7158	3357	6411	1426	1701	2567	6686	7091	8319	8956	6819	5454	3270	6364	1586
PGM3	1174	1122	825	800	185	104	363	1525	1531	840	1560	1128	1404	810	780	142
RWDD2A	233	212	129	125	0	4	11	88	112	200	619	506	241	38	396	0
CLK1	5432	5811	3032	10816	868	727	1483	5279	3219	12084	15654	12289	13301	4054	6572	4649
POLR3B	1382	1748	1466	737	312	272	734	3024	3552	1801	2291	1965	1461	273	1932	173
ANGEL1	3378	4522	1941	538	767	720	952	4117	5608	1404	3131	2256	2324	906	1952	179
RNF14	938	1016	959	1563	48	95	64	1142	1402	2825	1484	1355	1174	438	1695	7098
DNASE1L1	205	270	100	45	27	20	44	225	135	51	92	88	80	57	713	7
DDX11	847	851	479	337	753	786	2715	1704	2725	159	490	347	437	2284	275	239
HEBP1	2625	3240	1341	521	128	108	91	2902	5906	423	915	492	377	378	2694	3691
GPRC5A	0	25	8	0	0	0	0	3	0	0	10	0	0	4	8	0
MAMLD1	47	56	13	25	0	0	3	44	406	9	113	142	101	0	1	583
CD6	42	63	39	2	0	7	1	48	19	979	10828	4612	747	60	1	2
TACC3	5725	7088	4136	1846	4351	4847	12622	9303	7927	438	3192	1913	586	9175	7709	2021
UFL1	6711	6570	5902	4855	1124	854	1222	8194	12150	7683	9123	7940	5663	2006	7605	2249
POLA2	978	1197	1801	1252	1434	1947	6083	3855	3987	903	1059	607	1418	1905	905	649
ZC3H3	413	671	345	19	134	121	439	741	953	203	342	229	217	426	631	17
CAPN1	2431	3905	1507	292	919	903	3052	4706	4980	1749	1664	1162	1538	2651	4951	399
ACPP	5	17	96	3	88	457	1908	172	71	87	4	2	23	1154	13946	0
MDH1	3459	4525	3859	3473	785	612	1345	7101	7485	3215	5471	4136	2520	947	3959	1233
SLC30A9	7737	9814	5744	4358	2009	2274	4906	10537	12929	4224	5775	4698	4004	2971	5258	4306
MTMR11	6	2	14	0	2	12	373	9	12	48	53	25	147	121	3414	39
COX15	4996	6748	3979	2273	1464	1619	1353	7758	8246	2832	3525	2910	2677	4257	4807	1180
CCDC88C	3014	4095	1785	810	1708	1586	2976	2988	3623	9270	11593	7605	6295	4604	5733	329
YAF2	2096	2397	1451	2148	211	147	616	2311	2447	3628	3445	2618	2486	744	3082	647
ZMYND11	8021	9198	4558	3055	1228	973	1810	9500	10995	9667	10034	8619	5672	2286	4254	1657
WAS	2208	3149	1009	251	1974	2762	2776	2134	1333	1870	2942	1674	1307	2025	9595	7
DPEP1	2	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0
BID	1578	2336	1900	804	561	836	1199	4208	4936	1424	1041	1068	608	1795	6572	123
MATR3	47793	53466	32950	40797	6755	7516	14143	62140	66841	33379	50910	38864	38672	19955	29626	12762
NPC1L1	14	22	0	0	0	0	0	0	1	1	2	0	0	10	0	1
XYLT2	451	600	254	88	106	102	76	777	527	281	414	197	204	106	457	19
RGPD5	51	64	17	4	3	0	0	10	45	11	23	14	24	1	22	2
STMN4	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0
NUDCD3	2634	3225	1719	1306	662	1143	894	3078	4169	1960	3712	2448	3004	882	1484	841
ISL1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CHDH	2	25	1	0	2	0	0	37	0	0	24	1	2	0	9	0
IL20RA	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
CLCA1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CLCA4	1	2	2	0	0	0	0	0	1	3	0	1	7	0	0	0
GLT8D1	2312	2848	1907	1441	526	605	1060	3917	3223	2324	3561	2505	1867	1067	2053	419
ATP2C1	17809	20226	10374	4648	1944	1854	2339	24667	21186	4852	4793	3790	4029	3003	6410	4503
SRCIN1	10	4	1	0	4	0	32	0	0	4	4	1	0	0	5	0
IGF1	1	0	35	7	0	2	0	3	1	4	1	9	20	0	6	1
SLC38A5	358	671	386	34	282	266	552	865	1658	178	171	154	34	260	7	1480
MAGIX	8	26	5	8	8	5	6	49	37	10	31	18	9	62	131	7
RALBP1	8690	10972	4997	4113	2125	2359	4687	10541	14934	4753	3861	3220	3901	3815	6668	3783
RUFY3	1100	1145	1022	2078	234	171	1196	1083	2386	1048	1194	1198	2067	3957	3165	0
CNTN1	2072	1586	2	0	0	0	0	48	1	0	1	0	0	0	0	0
SLC11A1	29	67	13	2	67	105	0	32	175	30	167	50	6	0	13322	5
WWTR1	635	280	36	17	18	7	15	26	27	56	88	78	65	10	26	5
AGPS	17285	17895	7828	12031	2141	2089	3974	14316	12025	5925	5405	4917	2554	2140	9508	3681
CXorf56	283	282	184	253	15	34	63	306	299	352	315	254	265	83	331	43
ATP1A2	0	1	0	1	0	0	30	3	1	5	0	0	0	3	0	0
TTC27	3793	4421	2866	1091	1002	968	2405	18831	8472	1760	3462	2535	2548	501	1354	239
ZNF582	345	306	198	204	35	22	44	481	439	269	305	254	922	89	102	140
VSIG2	215	225	149	7	63	55	101	230	45	2	12	16	2	12	841	14
PHLDB1	372	216	57	3	20	13	0	62	20	8	41	15	5	3	38	1
MARCO	0	0	0	0	0	0	1	0	0	1	0	1	0	59	553	0
CYP24A1	6	0	0	0	0	0	0	0	0	1	18	9	0	0	1	0
PRDM11	414	574	113	1	134	1	0	490	559	103	76	94	54	68	47	18
SYT13	3	0	12	0	0	0	0	1	1	1	0	0	1	0	0	0
SNAI2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD74	95041	108116	56831	60317	58901	105126	303903	52311	28596	23802	10073	10815	345562	254736	283887	45
HGF	199	561	1570	125	1131	1077	1641	6014	844	3	1	0	2	53	2061	0
ZRANB1	8301	10351	4881	7401	917	847	2115	10435	11005	8273	9242	6999	5583	3697	8653	9105
NCDN	672	1100	584	84	1076	957	3184	995	1204	269	684	460	307	450	880	10
GPR124	58	82	157	0	130	556	1887	67	44	58	40	20	0	38	1309	0
ZFP64	821	946	585	257	250	94	471	1216	1491	592	533	483	547	194	538	6
MNAT1	1438	1562	1028	1218	277	142	230	1714	2200	1438	1263	1288	1259	499	469	298
SAMD4A	415	257	189	852	1	11	0	55	1	17	38	44	705	8	409	0
RUNX3	2984	4132	3013	812	1484	1882	2314	3409	2307	37531	8445	12296	5264	3223	3138	14
MRE11A	5061	4364	4325	3131	528	717	1160	6972	7495	3417	2413	2151	2475	1601	2340	1852
PLEKHB1	402	353	59	20	6	90	82	153	112	176	3714	2189	241	51	49	12
SERPINB1	24551	42323	21965	3763	5111	4531	3652	61263	36181	6856	5415	3684	2675	1928	31501	125
CYP3A43	2	1	1	3	0	0	1	3	2	10	14	1	2	1	0	15
SLC7A9	3	2	11	6	0	0	0	4	1	1	5	1	4	2	0	0
SPAST	4433	5418	3535	4124	1534	1835	5789	8477	9554	4197	4424	3226	4473	2605	7134	1670
NRXN3	55	92	0	120	0	0	0	7	0	0	0	1	0	0	0	53
OSBPL5	66	141	170	7	26	126	861	389	270	1227	23	72	0	194	632	10
AQR	8399	9594	8195	10023	2212	2743	7043	13612	16292	10381	11179	8442	7767	3566	13123	2631
CPS1	125	194	179	93	104	108	183	106	120	2	59	79	9	112	32	76
C8B	0	0	0	0	0	0	0	0	0	5	1	0	0	0	3	0
FHL1	10275	11141	4833	5234	965	886	2807	6753	2626	177	2538	774	732	3354	173	0
RTFDC1	5529	6891	3185	1451	2084	1891	4161	7232	6608	2443	3386	2576	2214	3061	7498	1013
GABRA1	0	0	0	0	0	0	0	1	10	0	1	0	0	0	0	0
NLRP2	103	97	187	256	115	17	0	303	385	784	141	233	126	59	14	2
SLC45A4	123	276	88	18	21	17	0	196	539	256	278	161	93	124	469	6
RNF10	3480	4220	2190	2403	743	462	1699	6572	4557	3551	5250	3465	3691	1778	5368	18702
ZNF839	388	377	212	95	66	46	261	456	509	307	538	310	168	224	279	13
ZDHHC6	3531	4120	3569	4115	997	1191	2113	6293	6506	4468	6765	5516	6346	1526	6028	1397
GRAMD1B	2606	2081	1717	2868	686	465	1228	1518	432	306	924	454	295	4618	2977	0
RNH1	525	844	514	43	249	400	635	756	1688	380	583	285	269	910	3657	16
NDUFS1	9173	10511	7281	6913	2475	2936	4900	16476	20626	7622	9064	7056	5561	4660	11481	6876
RB1CC1	8790	10899	6067	12022	1010	1224	1789	11751	12232	9215	10247	7826	10423	1788	12546	15220
ERP44	4466	5525	4354	4502	733	1101	1432	7559	5746	5174	6192	4732	5829	1947	10827	2571
ALAS1	703	948	1430	561	930	424	349	2016	1485	913	707	501	411	181	2017	114
BIRC3	6640	8113	1498	651	429	198	310	3038	1262	3476	46447	14949	94500	255	4215	41
AKAP11	17699	19452	11042	11466	2079	2078	4096	16645	15421	17657	25976	18370	22668	3537	13358	2260
GLRX2	146	179	142	45	23	4	0	230	313	77	63	41	21	5	170	68
SNAPC1	777	1127	554	951	122	81	86	717	920	271	441	417	553	89	449	76
DERA	1602	2134	2097	1592	384	570	750	4268	4200	1314	1079	775	1433	1089	2677	764
STRAP	8417	9874	6769	7362	1048	1266	2705	12668	14266	6011	7145	5696	4884	2691	8072	4246
ABCC2	64	62	15	62	4	0	0	49	40	60	185	100	208	6	101	3
DEF6	1026	1574	861	187	383	325	661	1247	866	1726	2611	1524	624	8472	2143	2
PLEKHO1	1946	2503	1583	582	1207	1150	3176	1458	151	843	1400	708	1711	2336	8110	9
GCLM	2188	2088	1232	627	49	172	174	1832	2997	3885	1900	1955	926	131	717	18184
UBR2	6956	7603	4922	6051	913	1058	2161	7998	9317	11541	9611	7574	6420	2678	12987	22765
EHD2	2646	3853	221	0	42	136	0	1603	3037	1	0	0	5	0	0	1
DEPDC1	321	417	574	1885	59	213	139	964	1234	7	7	22	48	246	79	3398
CCDC28A	1452	1591	1045	1481	83	207	507	2189	2318	1200	1519	1375	1622	583	1283	1537
RRAGD	4536	5281	4238	1930	575	640	2228	4723	4367	53	823	513	153	1810	2302	16
HSF2	1091	1542	749	758	86	40	63	1428	1824	846	2179	1654	570	304	432	418
PHF20	5677	6398	3996	2158	605	659	2617	7917	8546	7593	10033	7851	6503	2107	7854	1011
HSD17B6	16	16	53	21	3	0	0	24	20	0	28	26	64	8	0	57
NR1H3	532	651	268	120	86	20	206	393	230	80	80	60	23	0	149	6
TYMP	21	15	35	2	11	52	154	12	10	54	91	62	260	40	2472	1
NCAPH2	245	355	286	25	102	297	731	824	782	105	312	215	93	1045	222	20
TOMM34	2586	3527	1948	1049	1006	1831	3071	4160	4257	557	939	597	1182	844	1125	53
SEC63	11248	13989	7829	14713	3008	3102	4373	18353	14940	7798	9801	7412	7522	7671	11670	886
KPNA6	7020	8616	6092	5307	1332	1617	2929	9722	11760	8632	9317	7292	7612	3639	9412	12306
VIM	64135	53734	36638	18502	21254	26015	54817	58196	16293	10041	49590	28953	10980	58100	191501	58
RTEL1-TNFRSF6B	1	2	0	0	0	0	0	1	2	4	14	6	5	0	7	0
FAS	382	287	647	43	180	91	163	327	775	934	2607	1209	176	67	2701	1632
RNASET2	1231	1214	2139	1204	522	579	1063	1207	758	791	4467	1307	3250	4251	4674	10
CD44	153209	165302	78225	5729	28314	31264	62846	80721	60805	67187	211589	138381	67645	32828	314832	16030
KCNG1	0	1	0	1	0	0	0	0	0	0	1	0	411	0	0	0
AGPAT4	1540	1725	834	313	221	166	206	1874	2294	2368	1175	815	721	172	1671	1888
SLAMF7	0	1	11	7	3	52	310	4	3	27518	350	6350	619	1837	708	19
BTN3A1	2248	2512	1699	2387	475	260	812	2282	1927	16234	7320	7092	1922	907	3698	48
MIPEP	592	982	749	348	407	114	263	2009	2508	473	640	624	708	435	202	130
PRKCH	9408	8883	3372	4705	479	206	795	2909	662	44272	30761	28339	186	780	1483	25
INSRR	3	1	0	0	0	0	0	0	1	12	2	15	0	0	0	0
IFNGR1	1383	1856	1498	1611	339	630	861	2418	1537	7770	2203	2793	2721	1508	19294	139
B4GALT7	232	392	196	65	129	480	145	399	422	229	306	140	264	367	379	18
SH2D2A	65	99	30	2	54	1	0	179	95	3493	787	871	1	91	14	2
VRK2	2674	2834	1807	2399	527	519	1414	4223	5579	2104	2003	1558	3366	1486	2949	2683
TNFRSF1B	586	744	882	113	856	1603	5261	179	308	6479	3775	1844	1746	2973	51535	132
VEZT	6080	6405	5054	7215	553	494	1727	7447	6108	3281	4864	3923	3444	1621	3903	1639
POU2F2	869	1326	465	107	829	2816	4534	499	239	814	1782	897	6275	2305	8712	12
BRD9	869	782	650	240	133	225	319	1000	1236	591	1064	672	680	576	836	89
SNX1	10293	11689	6452	5387	2096	1839	2435	11353	12220	7584	10483	7504	7660	4887	12744	1270
TBPL1	987	1328	812	1924	99	128	162	1673	1911	2396	1814	1761	1815	456	1011	3473
ARNTL2	1530	1806	1015	558	612	241	784	2470	1861	6	45	156	267	156	180	11
BCLAF1	59039	69446	40498	43219	24276	23822	37919	87551	100494	41793	59194	49695	54587	48810	53635	14713
SLC39A9	6958	8761	7028	5697	1010	1589	6068	15451	12092	5893	4157	4148	3792	5270	10400	1614
ANK1	36	382	1	44	126	62	0	1881	36260	3	728	100	202	0	37	33510
IBSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFB1M	999	1159	762	743	36	108	25	1199	1457	657	1415	999	823	224	507	253
RABEP1	6152	6671	5397	7745	1217	743	2098	8814	12366	9592	8699	7203	15003	2757	5894	3485
HMGB3	2229	3226	2311	5387	1547	1818	2677	6144	7936	82	136	163	426	5499	1166	4295
NUP160	6568	7565	8591	9040	1198	1368	3004	12972	18332	5553	7511	5836	7292	4174	3665	5159
BAK1	131	185	146	50	106	244	180	316	382	216	264	197	58	408	317	20
MUSK	3	0	12	0	0	0	0	0	0	0	0	1	0	0	40	0
IKZF2	4887	4974	1009	3864	261	42	194	15620	3138	13418	5123	6780	6147	266	30	11
GRN	1984	3096	2716	16	4597	9038	24981	4326	2301	665	321	238	522	13401	49429	14
FAM13B	10376	12430	6811	9921	1003	1043	2450	14892	11980	10818	10366	9805	15576	7373	9602	1706
ARHGAP31	1380	948	421	149	31	76	68	581	710	1071	1395	528	1245	3149	7913	97
CENPQ	258	275	452	751	2	25	35	445	681	386	266	207	381	65	265	774
SARS	1327	1811	1410	1677	102	315	481	3111	5118	4058	4451	2996	1577	515	4343	1198
RANBP3	1087	1711	927	493	476	827	1329	1611	1835	1109	1474	1046	1047	1538	1699	243
ARID4A	11043	11537	8007	8464	1792	2326	3059	10587	7954	11930	13276	10543	12231	3383	12105	6309
TSSC1	730	897	663	532	77	160	96	1468	1598	354	737	381	269	452	629	37
PNPLA6	368	484	214	12	238	327	658	507	572	206	300	170	277	487	1473	47
IFT88	1162	1588	952	1785	155	105	120	1330	1279	1137	1058	1115	1564	251	570	670
ALG1	115	285	149	58	25	24	1	258	498	213	195	128	58	207	242	10
ZCCHC8	1739	1727	1381	1166	215	142	1048	1759	2060	1790	2388	1522	1848	722	2278	1904
ABCF2	2205	3079	2130	1078	1022	2063	9076	4088	5785	1721	2364	1999	1411	1045	3427	493
CHPF2	1994	2737	908	39	476	491	709	2486	1870	562	709	464	831	2210	2345	69
LRRC7	216	308	23	75	3	7	64	119	462	77	236	288	94	15	23	22
FUT8	3570	3820	2740	1839	772	598	622	6202	5413	1972	5228	4015	3472	627	1186	395
UBA6	4714	5359	4452	6606	561	592	1656	7926	7891	5779	5345	4583	5781	1754	5206	1223
GAB2	7887	9569	5224	10229	6080	8329	10461	10627	5055	284	438	115	2330	10813	23478	1
ATP6V0A1	4573	5560	1639	351	447	206	2549	4115	4735	138	960	627	4196	1850	8485	9144
PIAS1	12092	12175	8475	10616	4443	4103	9368	13280	10631	13461	21212	16096	14234	7785	23993	5008
SLC4A7	995	1014	1442	2333	236	119	600	1516	1039	2065	3683	2461	2213	424	1119	5
APBA2	0	34	1	0	0	0	0	272	640	1387	1943	1926	0	0	0	0
MAP2K3	505	1038	716	253	174	585	2299	1036	1138	861	386	367	533	1897	2944	3351
EFCAB1	2	1	0	0	0	0	0	4	7	1	0	0	0	0	0	0
TMSB10	5468	9979	8408	10399	2025	2851	7571	12948	16813	16284	39469	21502	15494	9992	36380	58
ASTE1	985	1112	899	423	30	75	222	978	1000	1359	2119	1858	1877	410	919	348
RNF19A	6148	6352	3365	3988	912	885	3350	4737	4096	9415	10920	8127	14058	2085	4142	15277
PEX3	731	1037	656	454	200	113	93	861	1102	602	1218	829	694	146	263	59
GABARAPL2	3483	4502	2045	3664	386	415	1302	3956	3817	2852	4491	3741	4714	1742	4409	11281
MYOC	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0
SH3YL1	1580	1267	862	1014	60	100	88	851	839	1390	7121	4239	1513	190	363	101
FAM136A	3024	5028	3809	1718	789	764	1410	7040	7986	2157	2073	1716	2292	2838	2731	244
VCL	8631	14406	8994	2828	2452	3383	8630	25340	9453	19170	7279	4010	4673	9534	31695	541
DEPDC1B	941	1092	1658	3395	786	878	2984	3320	3964	75	126	79	151	3223	357	4862
DAPK2	17	51	1	4	14	39	19	73	23	123	12	111	22	148	26	12
NSMAF	5762	6867	3930	2782	928	1167	2201	9161	9119	2419	4318	3257	3069	2496	5104	138
ADSS	3197	2721	2806	2443	374	657	1151	3529	4062	4676	3764	3203	1890	1413	3620	541
STAP1	4028	3108	2633	2484	494	354	241	4421	1445	1572	1584	227	19441	224	7	5
TIMP2	8898	9088	4863	1254	2349	4381	5562	5614	722	234	847	456	615	5274	29288	7
RFC1	8234	8629	9171	9320	1726	1792	3226	11006	10207	8812	9042	6848	6397	4715	5926	6548
TBC1D23	2867	3432	2317	3963	386	395	368	4485	6975	4503	3891	3503	3155	454	4344	9014
CUL3	8253	9282	7293	11022	762	753	1929	10796	12193	11643	9975	7955	11083	1876	9512	5758
MYOM2	179	83	307	178	79	38	144	367	251	22260	155	72	101	194	56	14
OTC	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CYP46A1	0	0	1	1	16	5	0	1	0	4	0	4	17	449	0	0
ZZZ3	8035	9076	5427	4720	1080	1225	1393	9364	10957	5435	10208	7428	6666	2476	4191	827
SLC18A1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	38	0
USP2	99	174	107	7	37	91	15	92	52	1	6	20	0	86	23	0
CASR	0	0	0	0	0	0	0	0	1	0	10	0	3	0	5	0
TUBG2	143	114	67	8	3	27	9	59	58	53	153	70	6	42	63	84
RPL26L1	367	586	610	602	158	208	174	892	1533	285	527	384	211	183	635	159
FLT4	0	5	0	1	5	0	0	8	0	0	67	109	0	0	0	0
NSUN2	3206	4269	3699	3154	642	657	1071	5268	6560	3176	3208	2652	3328	1681	4414	731
FBXO42	2913	3351	2244	2288	552	634	2570	4873	4026	2744	3747	3403	3584	1065	4088	1553
MFAP3	3631	4324	3290	3612	502	439	889	5497	6544	4146	3499	2815	2618	881	3949	1433
MRI1	96	156	155	9	129	363	416	225	324	60	106	48	28	99	172	2
METTL1	523	746	420	98	159	264	216	751	1287	93	217	196	119	50	135	6
HOXC8	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0
AGA	737	978	739	502	436	614	559	1740	1336	992	1263	995	1023	1049	1484	103
PI4K2B	1886	2203	2047	4289	237	197	392	2457	4128	2384	2701	2085	1762	722	1456	2546
BOD1L1	12978	14436	9952	15072	4015	4055	7969	14512	15459	21850	17947	14784	22332	10468	28145	5512
MAT2B	4657	6120	3325	5054	340	592	1458	5966	8033	11220	12147	8614	7204	1276	7049	5271
TLL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDC4	1196	1625	1026	140	659	604	1675	1990	2339	464	976	605	264	617	1225	42
TRIO	5718	7699	5273	3062	2566	2921	4666	6753	4802	2817	328	240	15379	2584	9032	3
VCAN	378	217	111	26	2	86	947	279	319	2098	221	188	5	0	1533609	127
CLEC16A	2451	3361	1871	1409	683	973	908	3347	3303	2279	3426	1908	4273	1389	3368	1211
MSR1	0	3	22	21	0	0	1	1	0	30	0	1	5	0	3678	0
CDH1	37	286	3	1	0	16	1	358	19733	27	30	34	13	202	2	6512
SKIV2L2	6084	7835	5577	5162	1121	996	1419	10690	14492	5809	7344	6195	6424	1884	5772	3924
DNAH5	81	87	6	0	0	0	0	22	1	0	0	0	2	16	0	0
ZFYVE16	1757	1888	1247	2843	26	101	465	2111	1751	2633	1686	1397	2328	227	6639	79
FAM65A	1232	1412	711	622	120	187	669	745	1715	544	468	176	1601	1273	4082	475
C6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAI14	530	231	302	2069	49	10	15	83	5	512	165	21	249	0	12	1
SOX30	8	90	8	1	4	1	0	15	20	8	29	9	110	0	11	8
PNKP	289	314	156	11	114	121	31	271	487	122	142	108	283	500	377	8
BEST2	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	1
PHLPP2	1381	1708	677	792	159	109	204	1783	1869	2041	2152	1371	3820	791	1042	10012
SPDL1	1812	1910	2951	4227	807	1460	2966	4490	5490	1422	1160	1169	1081	2316	895	3004
STAU2	4305	4840	3820	2188	778	1083	2294	7581	8581	6044	3891	3469	2372	1731	2734	680
PQLC2	121	207	106	16	78	19	962	137	64	105	182	53	73	672	288	15
CTNS	501	818	336	270	139	230	418	1691	801	304	275	202	227	250	807	80
RTN4R	23	36	226	42	95	116	1	81	11	36	7	1	0	4	0	0
PHF23	456	661	462	461	88	243	98	779	1094	755	512	322	365	211	735	110
CDH10	0	0	0	0	0	0	0	5	271	0	0	0	1	0	0	0
INPP4A	3864	4347	2496	1049	611	956	1713	3398	4219	14557	14051	11239	762	4145	9494	217
RAB27B	4043	2363	1551	8	82	64	88	2935	649	2643	284	163	1	0	14	20
PSMA4	6849	9140	8645	9050	1185	1386	4048	14231	16937	5940	5255	4186	3402	4222	9613	3380
MYO16	11	13	1	0	35	0	0	233	1455	0	72	18	2	0	1	4
LSG1	2376	2395	1783	1325	430	503	807	3279	3771	1884	2126	2017	1388	1116	2104	449
PARP3	594	670	309	155	279	127	105	493	697	76	338	265	240	68	179	1
TNC	151	91	54	1	0	0	0	25	0	4	2	1	0	0	55	0
THAP3	47	58	24	4	9	0	42	41	153	59	143	53	21	41	78	11
FAM65C	678	888	137	73	197	102	46	467	998	221	883	652	886	169	499	655
TDP1	2914	3337	2591	2862	441	921	2038	5482	6326	2760	5554	4175	3456	2254	1843	1122
AIFM2	184	219	59	220	104	1	0	120	61	189	236	306	113	0	59	34
C2orf83	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0
SPATA7	1455	1736	820	650	74	91	401	1196	1002	416	545	479	227	238	316	54
MED17	4853	5579	2520	3388	483	317	758	5379	4179	3622	4956	4189	4812	1065	2339	313
RETSAT	377	442	367	217	163	232	76	918	689	402	468	354	324	185	806	4
CAPG	804	781	841	82	221	277	1439	1500	153	125	255	41	731	1718	4689	0
AP2S1	381	659	476	316	168	400	1030	991	1018	392	403	364	146	522	1421	1109
USH2A	37	32	34	120	0	0	4	31	48	0	8	11	16	0	2	3
ZPBP	1	1	0	0	0	0	0	6	22	5	0	0	1	0	0	0
TG	16	19	5	7	0	1	0	24	11	113	163	112	30	1	156	0
ADAM28	11917	9742	4496	24	267	533	982	5398	2742	2049	21	65	26746	1620	2359	2
BARX2	0	0	0	0	0	0	0	1	0	0	9	1	0	0	1	0
DCUN1D1	4938	6167	3212	3791	572	444	1105	6161	6890	5923	4977	3975	3388	2022	5261	26814
JADE2	3795	4883	2174	4214	992	2053	1728	3138	3555	5923	9860	6720	4910	677	1890	18
ZIC2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LCP2	15705	19066	7426	4993	4157	4225	11421	18940	16094	33275	38342	30515	1073	3843	27657	42
TRIT1	585	754	812	789	365	338	1999	1455	2193	584	839	588	668	701	1148	301
ADRB1	0	0	58	20	1	0	0	6	1	155	0	29	37	0	217	0
GUCA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUL7	969	1008	480	122	25	60	544	1004	1438	215	329	204	164	350	453	8
CTNNA1	11707	13804	3465	2373	1346	1193	3911	12057	17321	2184	859	526	3231	2929	23361	8039
PHKA2	2638	4045	2291	1169	1229	1162	945	6474	5712	1493	2461	1670	2168	1303	4084	432
CNTLN	6183	6938	3995	3921	1499	1250	2333	6808	5971	182	48	9	118	2031	4166	1760
EPHA3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
HSPA5	40391	46622	44253	19706	22720	19078	23889	115625	73597	40331	30131	27382	20888	52134	58986	10562
DSG2	17182	14804	6732	1001	1849	1515	1093	11207	5358	1	35	54	1	1670	12	12
GEMIN8	346	608	381	167	38	124	328	631	830	140	355	233	197	289	138	124
OFD1	3619	3560	2361	5784	546	785	1415	4256	4711	6497	6914	5449	6435	3432	961	1461
GPM6B	300	280	364	1114	150	207	672	575	254	590	653	502	820	803	93	102
MAGEC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PREX2	17475	14554	1676	2	183	276	254	1551	65	1	1	0	10	5	22	0
WDR37	1237	1533	1036	1608	149	329	1786	1210	1126	4517	2498	2190	1150	953	2081	232
YTHDC2	2569	2656	2469	4197	380	530	792	3409	5177	4432	6567	5251	6467	962	5687	5814
CTPS2	3690	4925	2687	2453	626	320	717	5232	5258	980	1075	980	980	825	712	405
ATP6V1H	2587	2774	1970	1869	327	201	253	3634	3754	2599	2996	2856	2550	954	3250	1193
POLR2B	9028	11749	9275	12448	1777	1656	3407	16632	19481	15818	11645	10121	9227	6572	11510	6255
FAM214A	4780	4800	2084	9154	220	182	419	3317	3335	6725	8603	6993	14846	1918	3193	1873
ARAP2	6436	5970	2596	7036	176	118	209	2037	922	22579	8954	11458	12053	1257	5664	26
TPR	34130	41536	26317	34144	9458	7981	16361	44546	50883	31628	43287	30850	24811	23192	32617	18936
CP	24	79	52	76	0	1	0	35	8	320	257	221	397	10	76	5
KIAA0556	647	868	455	187	118	219	361	734	828	344	557	271	1420	509	1361	68
DTNBP1	1627	2071	1364	1714	196	290	1815	1892	1782	2279	1704	1398	2490	1917	1583	25
XK	66	574	73	32	1	9	0	2914	16859	27	3	18	7	67	13	38677
ANO2	17	83	0	66	0	0	0	19	1	0	0	0	0	0	0	1
C12orf4	1932	2513	1715	2637	256	373	966	3278	3136	1875	2250	1506	2240	1040	2543	2793
SCML1	24	43	34	88	4	1	48	16	29	45	819	726	418	32	207	28
